name,price,date,time,change,open,high,low,volume
"AA",39.48,"6/11/2007","9:36am",-0.18,39.67,39.69,39.45,181800
"AIG",71.38,"6/11/2007","9:36am",-0.15,71.29,71.60,71.15,195500
"AXP",62.58,"6/11/2007","9:36am",-0.46,62.79,63.00,62.57,935000
"BA",98.31,"6/11/2007","9:36am",+0.12,98.25,98.58,98.19,104800
"C",53.08,"6/11/2007","9:36am",-0.25,53.20,53.25,53.03,360900
"CAT",78.29,"6/11/2007","9:36am",-0.23,78.32,78.33,78.06,225400
"DD",50.75,"6/11/2007","9:36am",-0.38,51.13,51.14,50.69,96900
"DIS",34.20,"6/11/2007","9:35am",0.00,34.28,34.30,34.12,191000
"GE",37.23,"6/11/2007","9:36am",-0.09,37.07,37.27,37.05,694300
"GM",31.44,"6/11/2007","9:36am",+0.44,31.00,31.62,30.90,715429
"HD",37.67,"6/11/2007","9:35am",-0.28,37.78,37.83,37.62,218369
"HON",57.12,"6/11/2007","9:35am",-0.26,57.25,57.33,57.11,131100
"HPQ",45.81,"6/11/2007","9:36am",+0.11,45.80,45.85,45.46,303200
"IBM",102.86,"6/11/2007","9:35am",-0.21,102.87,102.99,102.50,151700